,beak_depth,year
0,8.4,1975
1,8.8,1975
2,8.4,1975
3,8.0,1975
4,7.9,1975
5,8.9,1975
6,8.6,1975
7,8.5,1975
8,8.9,1975
9,9.1,1975
10,8.6,1975
11,9.8,1975
12,8.2,1975
13,9.0,1975
14,9.7,1975
15,8.6,1975
16,8.2,1975
17,9.0,1975
18,8.4,1975
19,8.6,1975
20,8.9,1975
21,9.1,1975
22,8.3,1975
23,8.7,1975
24,9.6,1975
25,8.5,1975
26,9.1,1975
27,9.0,1975
28,9.2,1975
29,9.9,1975
30,8.6,1975
31,9.2,1975
32,8.4,1975
33,8.9,1975
34,8.5,1975
35,10.4,1975
36,9.6,1975
37,9.1,1975
38,9.3,1975
39,9.3,1975
40,8.8,1975
41,8.3,1975
42,8.8,1975
43,9.1,1975
44,10.1,1975
45,8.9,1975
46,9.2,1975
47,8.5,1975
48,10.2,1975
49,10.1,1975
50,9.2,1975
51,9.7,1975
52,9.1,1975
53,8.5,1975
54,8.2,1975
55,9.0,1975
56,9.3,1975
57,8.0,1975
58,9.1,1975
59,8.1,1975
60,8.3,1975
61,8.7,1975
62,8.8,1975
63,8.6,1975
64,8.7,1975
65,8.0,1975
66,8.8,1975
67,9.0,1975
68,9.1,1975
69,9.74,1975
70,9.1,1975
71,9.8,1975
72,10.4,1975
73,8.3,1975
74,9.44,1975
75,9.04,1975
76,9.0,1975
77,9.05,1975
78,9.65,1975
79,9.45,1975
80,8.65,1975
81,9.45,1975
82,9.45,1975
83,9.05,1975
84,8.75,1975
85,9.45,1975
86,8.35,1975
87,9.4,2012
88,8.9,2012
89,9.5,2012
90,11.0,2012
91,8.7,2012
92,8.4,2012
93,9.1,2012
94,8.7,2012
95,10.2,2012
96,9.6,2012
97,8.85,2012
98,8.8,2012
99,9.5,2012
100,9.2,2012
101,9.0,2012
102,9.8,2012
103,9.3,2012
104,9.0,2012
105,10.2,2012
106,7.7,2012
107,9.0,2012
108,9.5,2012
109,9.4,2012
110,8.0,2012
111,8.9,2012
112,9.4,2012
113,9.5,2012
114,8.0,2012
115,10.0,2012
116,8.95,2012
117,8.2,2012
118,8.8,2012
119,9.2,2012
120,9.4,2012
121,9.5,2012
122,8.1,2012
123,9.5,2012
124,8.4,2012
125,9.3,2012
126,9.3,2012
127,9.6,2012
128,9.2,2012
129,10.0,2012
130,8.9,2012
131,10.5,2012
132,8.9,2012
133,8.6,2012
134,8.8,2012
135,9.15,2012
136,9.5,2012
137,9.1,2012
138,10.2,2012
139,8.4,2012
140,10.0,2012
141,10.2,2012
142,9.3,2012
143,10.8,2012
144,8.3,2012
145,7.8,2012
146,9.8,2012
147,7.9,2012
148,8.9,2012
149,7.7,2012
150,8.9,2012
151,9.4,2012
152,9.4,2012
153,8.5,2012
154,8.5,2012
155,9.6,2012
156,10.2,2012
157,8.8,2012
158,9.5,2012
159,9.3,2012
160,9.0,2012
161,9.2,2012
162,8.7,2012
163,9.0,2012
164,9.1,2012
165,8.7,2012
166,9.4,2012
167,9.8,2012
168,8.6,2012
169,10.6,2012
170,9.0,2012
171,9.5,2012
172,8.1,2012
173,9.3,2012
174,9.6,2012
175,8.5,2012
176,8.2,2012
177,8.0,2012
178,9.5,2012
179,9.7,2012
180,9.9,2012
181,9.1,2012
182,9.5,2012
183,9.8,2012
184,8.4,2012
185,8.3,2012
186,9.6,2012
187,9.4,2012
188,10.0,2012
189,8.9,2012
190,9.1,2012
191,9.8,2012
192,9.3,2012
193,9.9,2012
194,8.9,2012
195,8.5,2012
196,10.6,2012
197,9.3,2012
198,8.9,2012
199,8.9,2012
200,9.7,2012
201,9.8,2012
202,10.5,2012
203,8.4,2012
204,10.0,2012
205,9.0,2012
206,8.7,2012
207,8.8,2012
208,8.4,2012
209,9.3,2012
210,9.8,2012
211,8.9,2012
212,9.8,2012
213,9.1,2012