Quarter,Earnings
2007-01-01,-0.36
2007-04-01,-0.38
2007-07-01,0.07
2007-10-01,1.85
2008-01-01,-0.34
2008-04-01,-0.42
2008-07-01,0.02
2008-10-01,2.11
2009-01-01,-0.39
2009-04-01,-0.4
2009-07-01,0.21
2009-10-01,2.1
2010-01-01,-0.39
2010-04-01,-0.37
2010-07-01,0.2
2010-10-01,2.14
2011-01-01,-0.35
2011-04-01,-0.37
2011-07-01,0.1
2011-10-01,2.26
2012-01-01,-0.24
2012-04-01,-0.38
2012-07-01,-0.01
2012-10-01,2.02
2013-01-01,-0.38
2013-04-01,-0.36
2013-07-01,-0.22
2013-10-01,2.56
2014-01-01,-0.42
2014-04-01,-0.4
2014-07-01,-0.78
2014-10-01,1.58
2015-01-01,-0.4
2015-04-01,-0.46
2015-07-01,-0.13
2015-10-01,2.71
2016-01-01,-0.35
2016-04-01,-0.56
2016-07-01,-0.34
2016-10-01,3.17
2017-01-01,-0.55
2017-04-01,-0.67
2017-07-01,-0.45
2017-10-01,3.76