"A","B","C","D","Left Skew","Multimodal","IQ20","IQ100"
48.91692627002304,67.22378462709426,55.91722454370563,45.56147084235743,23.1,37.632318445803534,120.45995060622951,93.0413676609804
47.69272613246292,68.1757511875116,30.174288172073528,47.82578299310127,18.2,49.24400070039043,107.41886375965973,93.80615767469726
48.62957949686339,61.75345147206508,43.64158288798818,59.699370101375386,14.600000000000001,37.780203122289805,95.00631199107342,135.33968111031552
58.544034203196134,69.78350682691783,53.73874454387965,45.704637709840554,21.2,56.827208051746815,96.52219234369116,100.77263151643969
44.82133762227393,70.7301531265549,67.82965865186014,44.254419111532485,24.5,54.51373105174257,108.8785628072259,91.60005295170939
47.693503759722084,63.00234503261082,58.79638620624986,58.919273096296365,24.9,47.876070075208354,108.48880053739943,105.96992055192821
43.954434124524184,54.45145110557521,63.02552416200736,44.08632902311514,27.4,48.75580259071664,109.34414828267234,93.86610357323849
52.84905451709292,67.45024761673653,45.85718059913754,71.2,21.7,42.03143169950377,133.44831201801213,104.00672932220253
47.934716061090135,74.69042258837595,31.75870810804747,47.967767958431565,24.2,58.907958004844716,84.48859792770178,110.12319410781731
63.531483481187685,75.70479869411162,23.780606751728975,48.368596820544134,20.6,58.405533675160115,83.67276315767975,128.92425455036945
49.80409903425121,62.66715595867991,56.91129066839157,49.70514155634195,13.299999999999997,44.5327297467004,80.06400460297984,105.92653775600527
52.18302421949007,72.93363402836697,71.12276718385674,53.59588674350537,19.1,50.77699653045245,104.1376034637239,130.3640239257335
57.12192571417685,67.44786668163442,72.07142186438905,49.07043934128124,13.5,52.09775271450724,107.84534647864825,78.98145072248079
58.55795680522031,66.14472375834335,24.9178412044595,51.589841663834996,23.6,54.350522557459094,107.07920062383597,114.82575430639561
49.50904216673508,62.18142606263024,63.57365015288133,44.163543104253925,25.2,37.04629684457656,83.57814631459395,136.08184544288244
50.2508653817044,59.39578026446824,90.09525709971052,47.12019847086525,12,40.33327251896943,100.27592386942835,86.80008011936123
41.22497151028554,64.45195624800732,51.63517141040554,45.74516024631136,15.7,55.06650872070288,94.07930511979463,105.35216441749657
49.71333178474488,68.80033851104409,46.28566023287617,56.155407642512216,6.399999999999999,41.29593690853747,130.39900189871594,81.83603837318859
57.19246350746043,61.79506266907068,63.979316476715596,50.885966654765966,10.700000000000003,54.74535096330778,109.17606280882548,97.66727803399843
48.52334249021669,77.08041999488567,65.32865191952533,50.9488238491807,17.2,51.97636336179204,78.28492008364199,96.14406809043533
50.62539542890025,70.96476655375716,43.58881027544966,53.06276937453637,15.100000000000001,46.914902260479806,,110.36566727182677
41.18047735226865,64.73907761998345,62.62364020264522,58.04579052527747,15.7,53.46559397798002,,109.93172626524489
52.88313105783124,74.31263308575413,34.906330378890516,49.0083277574907,25.4,52.08045546859033,,106.40143799181536
58.73280109937436,66.205228018922,51.67459345734988,51.14396536472198,22.4,49.60450594443382,,100.76460074376133
46.90133854227066,66.92570395110583,54.55478721448258,41.79901164521333,26.9,42.22716596490256,,98.37581616445722
50.57113108164306,54.15037901900398,44.22529490167563,56.9933461614565,22.4,44.99025963497068,,92.54325383110445
50.88966184937776,67.23760331772498,78.78126687464439,48.569928352428725,28.9,41.80558043793747,,91.42152734897672
54.75772623001927,70.82354985404146,35.055387534157845,49.82098339797017,24.1,48.94743548712801,,96.80065124071457
49.558572647557305,66.93263477006695,73.10022262152569,57.96004119720175,20.8,48.82103466120313,,108.91853609033603
50.429850743579614,68.95034879515177,54.88758259075709,50.68004916239288,19.8,46.40477506107533,,83.82286563962197
47.45481008284013,59.156253189401255,47.15174721349477,61.03088128288408,29.3,46.93987121336949,,117.14769514321713
59.52588299953938,68.32603504042976,33.36722454088674,46.191214075443995,26.2,46.73127784872945,,100.06969812566398
53.82245051618615,75.12142781582477,72.52875602157232,42.13709771509344,29.5,55.23316001455772,,91.33341100663733
50.74045436780627,73.12286376130255,78.9474723402364,45.89353135775451,25.7,50.3484247741924,,69.76314586082424
51.028465045470014,59.29574254055781,57.570725540384466,55.30019268442341,28.3,49.55677201376681,,121.26448174453748
53.27484670949228,61.130601114044445,52.036644031706395,46.74108491143471,18.2,56.835227773995335,,99.31574101127325
50.47588687737428,61.60309952260153,64.65677405903367,47.39633448447276,29.9,52.203126856132315,,93.60072674486273
53.244995975800435,67.21923386412477,54.113906529884844,49.57116888935565,20.8,39.49703319600668,,101.28663709324837
52.307037416806565,73.76044019406578,40.66639856998382,48.54250677383166,26.6,50.042669124373376,,119.54176343762987
50.37742445020572,67.86747375379858,78.60382162030972,49.68202635890706,27.5,51.110489842748585,,113.97045011785303
50.218692927362845,64.04983525155971,49.685454541404624,49.601776368187714,25.3,45.4436655479892,,117.06928983555638
48.04522060385262,60.43975656622266,22.76823942178696,57.300495700150286,28.9,45.59240264356024,,117.5501443172271
55.68883690563585,62.56469738711425,69.042523179077,45.092965988049684,17.2,52.80596244015252,,108.12058323864193
51.91123418759094,66.32408364672041,51.881215636848296,49.47022261479839,26.4,45.84677986048672,,87.30436973623665
58.254807556730064,66.2664996230472,42.43766646629434,51.12,24.1,48.1812010936962,,74.06601766143703
51.2212516852218,63.819763271431825,60.86984072184549,43.21256727393769,27.7,44.470515460500906,,103.36211626638715
41.60069930070501,61.8273552837986,68.67111001033963,56.31117799330991,12.1,48.13837073795528,,99.06373265088314
59.63077895813976,63.452163109298496,15.381701578333399,54.78020245479876,19.1,47.5100709900538,,105.49058971064208
58.3656204508561,58.43679338898179,43.47036398590812,50.16305844016182,10.600000000000001,55.70854138245629,,74.47901080832489
50.049169192722076,60.4385998707777,42.06420101534808,48.986015641238446,21.9,60.36886701002073,,112.25871871251624
43.1949715598966,66.23188290028848,52.73504806579472,56.713514437114554,7.299999999999997,33.55581455385736,,126.96458540739454
60.780544471214654,67.60003676323989,44.067535332912755,54.43621433940929,13.399999999999999,48.05434940459249,,107.47246706981039
47.99373716392234,71.10445525467051,72.5332349400326,46.889731577942584,1,43.779642807594925,,90.41067675791119
50.490717349925006,58.583109935612335,59.657143146249034,39.08123117800215,8.100000000000001,52.415980678679105,,106.55954769809954
54.69073694472672,66.93464241279993,49.88801026668316,50.03235872449066,4.799999999999997,46.74374844254298,,95.93741337625285
53.41455110561131,60.448022356686884,26.25786221856045,46.15391423905035,10.299999999999997,50.91041346098269,,114.83925151930183
43.54734554321317,67.97116042747332,57.840796344048414,53.886414905731165,9,58.29388075673836,,92.11959236907913
44.01907900401661,69.78573999865982,54.59271758082297,50.94619207581124,23.7,49.03565841685964,,91.98478955717613
45.553968806857576,60.665135646417085,36.958017108223125,51.10755201803849,11.100000000000001,43.962552335244716,,107.96489539470207
42.93316450362579,64.8316093267144,35.057814533976675,54.94479243867798,22.9,46.71776880760747,,138.87193338438044
43.33115615739394,63.567847511961354,43.30866984573651,50.27062776982724,6.200000000000003,57.90576674999171,,86.95868030735876
52.124139637111256,72.11989350589427,35.58091705603509,53.66531387644586,21.3,42.46551352288508,,114.68230098448755
55.98278941325977,60.514714248353975,57.0419452249709,56.220483720541885,9.399999999999999,48.80721010429013,,104.32803904720632
49.31695397994517,63.120633407810274,59.262267441270225,44.061115393139154,11.100000000000001,59.76455181427262,,116.88568971591438
56.02378399317277,56.375067341734436,29.289025720528656,49.748227922293616,10.700000000000003,53.281545788498676,,130.10469566258192
53.81949940717562,68.89079989027248,64.76275941865006,49.33898653799481,14,49.397378900097515,,127.6970624470484
51.07567089569373,64.80283909407144,66.08121999006761,58.9668097011292,6.5,49.848214583286186,,79.79359135116084
40.20631751075375,54.14250963159791,19.284564711560165,51.78050706778413,20.6,51.09617293468667,,99.48266563152485
39.93544971134,70.61884663590013,42.22976148188321,51.05045358153809,19.7,45.83113544134853,,77.73224563271295
43.24979431183974,67.85482125144256,49.85100828130929,42.87269694244296,14.799999999999997,56.22974540350274,,107.22618678986339
43.939759353008554,63.62608724372741,33.67210149888009,42.12752904866992,27.4,41.16886061090281,,118.30790995466954
49.54742148166439,60.20874526797308,47.44668654354556,51.364005532117204,22.5,48.42322219865347,,115.89357158913927
49.44206490897669,80.18472977285295,56.10818388847142,50.543843784240984,24.4,45.61328416042193,,101.56651377769106
40.62325537775651,64.44479556952938,45.28650730999526,54.94357848715449,16.8,45.16276194404796,,123.99229328136146
52.36333200067426,69.06411994645944,38.04275937585706,45.24304890445953,20.1,50.47094497112164,,92.02915439331964
54.64070447718771,69.35113686959241,35.06251926307544,47.16287343121834,16.8,50.00320647472181,,85.12240690716418
47.379745529585044,60.053873694536456,50.16552787919213,51.439422684667164,26,54.61980167480222,,83.50166410226485
42.48286570070346,68.88563825353707,60.05331073629687,50.82037043139672,27.6,53.82662007780241,,91.54791665450014
52.767107941926696,67.91061058041196,82.77653409275514,46.664316284829226,25.9,45.18170582164192,,100.74458261848551
50.691046328351,62.891889851318176,31.56712597718805,48.73697508063296,29.7,51.70984992534674,,102.69844145043135
56.28214343642476,66.00543217057562,69.99301194738483,47.79336062021322,26.5,48.63357069947443,,105.38452329546968
44.53619512496748,62.04272346853873,67.02617608248124,49.22005231774946,27.7,51.10277891867598,,87.49147900118689
54.72783121354949,65.6204135128386,25.984531733034615,57.10218640703097,18.3,46.77549567846239,,99.42556890709743
53.88994264809035,59.820852702569404,48.93830929744435,46.38415996336167,28.7,49.31547956835385,,119.1316247409367
52.06677843719843,64.00720316539378,30.33166219916356,48.75064897906115,31.4,62.59517193016456,,87.65984017611409
50.65637520441878,64.02324565430664,56.39684502722392,50.15499895868352,23.1,44.482875492271646,,93.8340307742261
51.68661266433443,58.27407648594479,43.372801138990155,53.90186563323197,22.5,50.46697904004028,,99.87111033450627
56.38723416719705,65.965255878191,38.31503638637864,43.207744184094864,23.7,55.98944799312943,,106.26655125445136
51.48020433217212,59.48039019284258,44.77405063797981,49.501545898630276,26.9,52.511632831881066,,82.47681951662473
51.30023401761236,65.83233789760828,63.085001445551605,56.593813023053535,16.7,56.11772699501457,,81.48980000313357
45.899754832348336,66.47951925411084,58.876167909971386,48.78393103362907,26.4,52.63179692419734,,79.25705769969315
51.56117979119006,63.75432232676544,63.96409568187056,47.56428844149085,21,49.46731135810197,,107.08481214582427
47.43624023478474,69.67659249346434,43.795411783987184,40.14693581377364,,51.57879648332067,,123.8138188274967
56.156082265628854,65.18123969568809,20.698399912838596,51.71155150240583,,46.57303387381634,,107.92050536926833
52.50970723092749,58.794857775224024,58.31292421304476,52.131862421631304,,55.510306041333806,,98.47034355933089
48.67227131968394,64.75215527913673,44.85039266526812,39.394049483686416,,56.51722673726572,,95.6711791976078
45.6674566127739,60.04080422501022,53.65920055834915,45.670253326829354,,49.99678484396283,,117.6207069159766
56.798351982931614,70.79701472455614,55.75837349791836,52.134115196375056,,53.52596239065992,,137.44888995397622
56.68149157476398,71.04166515557942,49.70928004631667,60.5317763474969,,52.13133503596283,,114.25295444917887
50.8380847679161,68.74691828045576,51.07548784611437,51.08489209266452,,51.71338659988354,,97.69178891119485
,,,,,77.88842263185151,,
,,,,,71.59320999063917,,
,,,,,65.95410269572558,,
,,,,,76.4629372884448,,
,,,,,61.14294817337915,,
,,,,,66.23851700049096,,
,,,,,66.69120456225997,,
,,,,,81.9295353316365,,
,,,,,70.73623453259069,,
,,,,,69.43553964240986,,
,,,,,78.94785029804096,,
,,,,,63.58544948161371,,
,,,,,70.4825433098745,,
,,,,,64.48252954299579,,
,,,,,68.41233269988769,,
,,,,,63.261830072804216,,
,,,,,64.86673304125856,,
,,,,,61.14520270995756,,
,,,,,76.52344509846037,,
,,,,,70.95338108466878,,
,,,,,71.78301801308251,,
,,,,,63.631815260484615,,
,,,,,68.39461665340495,,
,,,,,71.74381423325812,,
,,,,,70.00009694450148,,
,,,,,75.12199041298797,,
,,,,,63.65507252630138,,
,,,,,72.53489691781446,,
,,,,,67.90648239450121,,
,,,,,73.13794751280683,,
,,,,,72.3346561900889,,
,,,,,70.62328893450737,,
,,,,,69.47031820926654,,
,,,,,65.12997590937859,,
,,,,,60.83521437207213,,
,,,,,79.53088850196978,,
,,,,,66.58398900703438,,
,,,,,78.3324635051092,,
,,,,,67.07685875094256,,
,,,,,69.30625163423139,,
,,,,,66.67581099534104,,
,,,,,65.58288977244706,,
,,,,,67.86301780357444,,
,,,,,78.54614126644117,,
,,,,,80.3382852171874,,
,,,,,77.05824095964758,,
,,,,,68.45420070941869,,
,,,,,75.86340180662093,,
,,,,,62.992854866105745,,
,,,,,62.16891246049057,,
,,,,,65.52279362960363,,
,,,,,72.45883081504142,,
,,,,,69.98895413338454,,
,,,,,68.31521344525261,,
,,,,,65.93683613803903,,
,,,,,81.81762969296294,,
,,,,,71.13131506386293,,
,,,,,69.07675127797577,,
,,,,,67.34333183082978,,
,,,,,62.17410555581651,,
,,,,,70.60665961372813,,
,,,,,67.94208339560845,,
,,,,,73.87500067200836,,
,,,,,67.91593862264446,,
,,,,,68.32667221396956,,
,,,,,63.90526496070523,,
,,,,,72.26974790929343,,
,,,,,74.98342217596694,,
,,,,,69.46110275875475,,
,,,,,73.92590818009029,,
,,,,,71.81387131863284,,
,,,,,64.80509647148415,,
,,,,,68.85542240524319,,
,,,,,75.39482404582074,,
,,,,,79.6902622369079,,
,,,,,63.35868785284104,,
,,,,,70.71987345245573,,
,,,,,56.55560578376997,,
,,,,,74.66298721652164,,
,,,,,71.35487940591567,,
,,,,,70.74664390229485,,
,,,,,72.93904862660891,,
,,,,,68.19507457387651,,
,,,,,63.630496554339416,,
,,,,,74.04408447026592,,
,,,,,64.23120107087857,,
,,,,,66.4861894601638,,
,,,,,65.02017069875643,,
,,,,,69.50124646621126,,
,,,,,70.76146034471118,,
,,,,,75.45165069578725,,
,,,,,70.28055353499347,,
,,,,,69.58081020735236,,
,,,,,73.32477319640374,,
,,,,,68.75635153392142,,
,,,,,76.287868843605,,
,,,,,66.10911211206235,,
,,,,,74.98810574537617,,
,,,,,74.20965275566886,,
,,,,,70.83365528603429,,
