,Temperature,Date
0,46.2,20100101 00:00
1,44.6,20100101 01:00
2,44.1,20100101 02:00
3,43.8,20100101 03:00
4,43.5,20100101 04:00
5,43.0,20100101 05:00
6,43.1,20100101 06:00
7,42.3,20100101 07:00
8,42.5,20100101 08:00
9,45.9,20100101 09:00
10,49.4,20100101 10:00
11,52.4,20100101 11:00
12,54.9,20100101 12:00
13,57.1,20100101 13:00
14,58.4,20100101 14:00
15,59.1,20100101 15:00
16,59.1,20100101 16:00
17,58.0,20100101 17:00
18,54.5,20100101 18:00
19,51.3,20100101 19:00
20,49.2,20100101 20:00
21,48.1,20100101 21:00
22,47.2,20100101 22:00
23,46.4,20100101 23:00
24,46.5,20100102 00:00
25,44.9,20100102 01:00
26,44.4,20100102 02:00
27,44.1,20100102 03:00
28,43.9,20100102 04:00
29,43.3,20100102 05:00
30,43.5,20100102 06:00
31,42.6,20100102 07:00
32,42.8,20100102 08:00
33,46.3,20100102 09:00
34,49.9,20100102 10:00
35,53.0,20100102 11:00
36,55.5,20100102 12:00
37,57.7,20100102 13:00
38,59.0,20100102 14:00
39,59.7,20100102 15:00
40,59.7,20100102 16:00
41,58.6,20100102 17:00
42,55.1,20100102 18:00
43,51.8,20100102 19:00
44,49.8,20100102 20:00
45,48.6,20100102 21:00
46,47.6,20100102 22:00
47,46.8,20100102 23:00
48,46.8,20100103 00:00
49,45.2,20100103 01:00
50,44.7,20100103 02:00
51,44.5,20100103 03:00
52,44.1,20100103 04:00
53,43.4,20100103 05:00
54,43.7,20100103 06:00
55,42.8,20100103 07:00
56,43.0,20100103 08:00
57,46.4,20100103 09:00
58,49.9,20100103 10:00
59,53.1,20100103 11:00
60,55.6,20100103 12:00
61,57.8,20100103 13:00
62,59.1,20100103 14:00
63,59.8,20100103 15:00
64,59.8,20100103 16:00
65,58.6,20100103 17:00
66,55.2,20100103 18:00
67,51.8,20100103 19:00
68,49.7,20100103 20:00
69,48.5,20100103 21:00
70,47.5,20100103 22:00
71,46.6,20100103 23:00
72,46.6,20100104 00:00
73,45.0,20100104 01:00
74,44.5,20100104 02:00
75,44.3,20100104 03:00
76,43.9,20100104 04:00
77,43.2,20100104 05:00
78,43.4,20100104 06:00
79,42.6,20100104 07:00
80,42.9,20100104 08:00
81,46.3,20100104 09:00
82,49.8,20100104 10:00
83,52.9,20100104 11:00
84,55.4,20100104 12:00
85,57.6,20100104 13:00
86,59.0,20100104 14:00
87,59.7,20100104 15:00
88,59.7,20100104 16:00
89,58.5,20100104 17:00
90,55.1,20100104 18:00
91,51.6,20100104 19:00
92,49.5,20100104 20:00
93,48.3,20100104 21:00
94,47.3,20100104 22:00
95,46.4,20100104 23:00
96,46.5,20100105 00:00
97,44.9,20100105 01:00
98,44.5,20100105 02:00
99,44.3,20100105 03:00
100,43.9,20100105 04:00
101,43.2,20100105 05:00
102,43.5,20100105 06:00
103,42.7,20100105 07:00
104,43.0,20100105 08:00
105,46.4,20100105 09:00
106,49.9,20100105 10:00
107,53.0,20100105 11:00
108,55.6,20100105 12:00
109,57.8,20100105 13:00
110,59.2,20100105 14:00
111,59.9,20100105 15:00
112,59.9,20100105 16:00
113,58.7,20100105 17:00
114,55.3,20100105 18:00
115,51.8,20100105 19:00
116,49.7,20100105 20:00
117,48.5,20100105 21:00
118,47.5,20100105 22:00
119,46.5,20100105 23:00
120,46.8,20100106 00:00
121,45.2,20100106 01:00
122,44.6,20100106 02:00
123,44.4,20100106 03:00
124,43.9,20100106 04:00
125,43.2,20100106 05:00
126,43.4,20100106 06:00
127,42.6,20100106 07:00
128,42.8,20100106 08:00
129,46.2,20100106 09:00
130,49.7,20100106 10:00
131,52.8,20100106 11:00
132,55.3,20100106 12:00
133,57.5,20100106 13:00
134,58.8,20100106 14:00
135,59.6,20100106 15:00
136,59.5,20100106 16:00
137,58.3,20100106 17:00
138,55.1,20100106 18:00
139,51.5,20100106 19:00
140,49.4,20100106 20:00
141,48.2,20100106 21:00
142,47.2,20100106 22:00
143,46.3,20100106 23:00
144,46.4,20100107 00:00
145,44.8,20100107 01:00
146,44.4,20100107 02:00
147,44.1,20100107 03:00
148,43.6,20100107 04:00
149,43.0,20100107 05:00
150,43.1,20100107 06:00
151,42.3,20100107 07:00
152,42.5,20100107 08:00
153,45.9,20100107 09:00
154,49.5,20100107 10:00
155,52.7,20100107 11:00
156,55.2,20100107 12:00
157,57.4,20100107 13:00
158,58.8,20100107 14:00
159,59.5,20100107 15:00
160,59.5,20100107 16:00
161,58.3,20100107 17:00
162,55.0,20100107 18:00
163,51.4,20100107 19:00
164,49.3,20100107 20:00
165,48.0,20100107 21:00
166,47.0,20100107 22:00
167,46.1,20100107 23:00
168,46.2,20100108 00:00
169,44.6,20100108 01:00
170,44.3,20100108 02:00
171,43.9,20100108 03:00
172,43.4,20100108 04:00
173,42.8,20100108 05:00
174,42.9,20100108 06:00
175,42.1,20100108 07:00
176,42.2,20100108 08:00
177,45.7,20100108 09:00
178,49.3,20100108 10:00
179,52.5,20100108 11:00
180,55.0,20100108 12:00
181,57.2,20100108 13:00
182,58.6,20100108 14:00
183,59.4,20100108 15:00
184,59.4,20100108 16:00
185,58.2,20100108 17:00
186,55.0,20100108 18:00
187,51.4,20100108 19:00
188,49.4,20100108 20:00
189,48.1,20100108 21:00
190,47.1,20100108 22:00
191,46.1,20100108 23:00
192,46.2,20100109 00:00
193,44.7,20100109 01:00
194,44.3,20100109 02:00
195,43.9,20100109 03:00
196,43.4,20100109 04:00
197,42.9,20100109 05:00
198,43.0,20100109 06:00
199,42.3,20100109 07:00
200,42.4,20100109 08:00
201,45.8,20100109 09:00
202,49.3,20100109 10:00
203,52.5,20100109 11:00
204,55.0,20100109 12:00
205,57.1,20100109 13:00
206,58.5,20100109 14:00
207,59.3,20100109 15:00
208,59.2,20100109 16:00
209,58.1,20100109 17:00
210,54.8,20100109 18:00
211,51.3,20100109 19:00
212,49.3,20100109 20:00
213,48.0,20100109 21:00
214,47.0,20100109 22:00
215,46.2,20100109 23:00
216,46.2,20100110 00:00
217,44.7,20100110 01:00
218,44.3,20100110 02:00
219,43.9,20100110 03:00
220,43.4,20100110 04:00
221,42.9,20100110 05:00
222,43.0,20100110 06:00
223,42.3,20100110 07:00
224,42.5,20100110 08:00
225,45.8,20100110 09:00
226,49.3,20100110 10:00
227,52.5,20100110 11:00
228,55.0,20100110 12:00
229,57.1,20100110 13:00
230,58.5,20100110 14:00
231,59.3,20100110 15:00
232,59.3,20100110 16:00
233,58.1,20100110 17:00
234,54.8,20100110 18:00
235,51.3,20100110 19:00
236,49.3,20100110 20:00
237,47.9,20100110 21:00
238,47.0,20100110 22:00
239,46.1,20100110 23:00
240,46.1,20100111 00:00
241,44.7,20100111 01:00
242,44.2,20100111 02:00
243,43.8,20100111 03:00
244,43.4,20100111 04:00
245,42.9,20100111 05:00
246,42.9,20100111 06:00
247,42.3,20100111 07:00
248,42.5,20100111 08:00
249,45.8,20100111 09:00
250,49.2,20100111 10:00
251,52.3,20100111 11:00
252,54.8,20100111 12:00
253,56.8,20100111 13:00
254,58.2,20100111 14:00
255,59.1,20100111 15:00
256,59.0,20100111 16:00
257,57.9,20100111 17:00
258,54.7,20100111 18:00
259,51.1,20100111 19:00
260,49.2,20100111 20:00
261,47.9,20100111 21:00
262,47.0,20100111 22:00
263,46.1,20100111 23:00
264,46.0,20100112 00:00
265,44.6,20100112 01:00
266,44.2,20100112 02:00
267,43.8,20100112 03:00
268,43.4,20100112 04:00
269,43.0,20100112 05:00
270,43.0,20100112 06:00
271,42.4,20100112 07:00
272,42.6,20100112 08:00
273,45.8,20100112 09:00
274,49.2,20100112 10:00
275,52.3,20100112 11:00
276,54.8,20100112 12:00
277,56.8,20100112 13:00
278,58.2,20100112 14:00
279,59.1,20100112 15:00
280,59.0,20100112 16:00
281,58.0,20100112 17:00
282,54.8,20100112 18:00
283,51.2,20100112 19:00
284,49.3,20100112 20:00
285,48.0,20100112 21:00
286,47.1,20100112 22:00
287,46.1,20100112 23:00
288,46.1,20100113 00:00
289,44.6,20100113 01:00
290,44.1,20100113 02:00
291,43.8,20100113 03:00
292,43.4,20100113 04:00
293,43.0,20100113 05:00
294,43.1,20100113 06:00
295,42.5,20100113 07:00
296,42.7,20100113 08:00
297,45.8,20100113 09:00
298,49.2,20100113 10:00
299,52.3,20100113 11:00
300,54.7,20100113 12:00
301,56.8,20100113 13:00
302,58.1,20100113 14:00
303,59.0,20100113 15:00
304,59.0,20100113 16:00
305,57.9,20100113 17:00
306,54.8,20100113 18:00
307,51.3,20100113 19:00
308,49.3,20100113 20:00
309,48.0,20100113 21:00
310,47.1,20100113 22:00
311,46.0,20100113 23:00
312,46.0,20100114 00:00
313,44.6,20100114 01:00
314,44.0,20100114 02:00
315,43.6,20100114 03:00
316,43.2,20100114 04:00
317,42.8,20100114 05:00
318,42.9,20100114 06:00
319,42.2,20100114 07:00
320,42.4,20100114 08:00
321,45.8,20100114 09:00
322,49.1,20100114 10:00
323,52.2,20100114 11:00
324,54.6,20100114 12:00
325,56.7,20100114 13:00
326,58.1,20100114 14:00
327,59.0,20100114 15:00
328,59.0,20100114 16:00
329,58.0,20100114 17:00
330,54.8,20100114 18:00
331,51.2,20100114 19:00
332,49.2,20100114 20:00
333,47.8,20100114 21:00
334,46.8,20100114 22:00
335,45.8,20100114 23:00
336,45.8,20100115 00:00
337,44.4,20100115 01:00
338,43.9,20100115 02:00
339,43.4,20100115 03:00
340,43.0,20100115 04:00
341,42.6,20100115 05:00
342,42.8,20100115 06:00
343,42.1,20100115 07:00
344,42.3,20100115 08:00
345,45.8,20100115 09:00
346,49.2,20100115 10:00
347,52.3,20100115 11:00
348,54.7,20100115 12:00
349,56.8,20100115 13:00
350,58.2,20100115 14:00
351,59.2,20100115 15:00
352,59.1,20100115 16:00
353,58.1,20100115 17:00
354,54.9,20100115 18:00
355,51.2,20100115 19:00
356,49.3,20100115 20:00
357,47.9,20100115 21:00
358,46.9,20100115 22:00
359,45.8,20100115 23:00
360,45.7,20100116 00:00
361,44.5,20100116 01:00
362,44.0,20100116 02:00
363,43.5,20100116 03:00
364,43.1,20100116 04:00
365,42.7,20100116 05:00
366,42.8,20100116 06:00
367,42.1,20100116 07:00
368,42.5,20100116 08:00
369,45.9,20100116 09:00
370,49.3,20100116 10:00
371,52.4,20100116 11:00
372,54.7,20100116 12:00
373,56.9,20100116 13:00
374,58.3,20100116 14:00
375,59.2,20100116 15:00
376,59.2,20100116 16:00
377,58.2,20100116 17:00
378,55.0,20100116 18:00
379,51.4,20100116 19:00
380,49.5,20100116 20:00
381,48.1,20100116 21:00
382,47.0,20100116 22:00
383,45.9,20100116 23:00
384,45.7,20100117 00:00
385,44.6,20100117 01:00
386,44.1,20100117 02:00
387,43.6,20100117 03:00
388,43.1,20100117 04:00
389,42.7,20100117 05:00
390,42.8,20100117 06:00
391,42.0,20100117 07:00
392,42.5,20100117 08:00
393,45.9,20100117 09:00
394,49.2,20100117 10:00
395,52.3,20100117 11:00
396,54.6,20100117 12:00
397,56.7,20100117 13:00
398,58.1,20100117 14:00
399,59.1,20100117 15:00
400,59.0,20100117 16:00
401,58.1,20100117 17:00
402,55.0,20100117 18:00
403,51.4,20100117 19:00
404,49.4,20100117 20:00
405,48.0,20100117 21:00
406,47.0,20100117 22:00
407,45.9,20100117 23:00
408,45.7,20100118 00:00
409,44.5,20100118 01:00
410,44.0,20100118 02:00
411,43.4,20100118 03:00
412,43.0,20100118 04:00
413,42.7,20100118 05:00
414,42.7,20100118 06:00
415,42.0,20100118 07:00
416,42.5,20100118 08:00
417,46.0,20100118 09:00
418,49.4,20100118 10:00
419,52.5,20100118 11:00
420,54.8,20100118 12:00
421,57.0,20100118 13:00
422,58.4,20100118 14:00
423,59.4,20100118 15:00
424,59.4,20100118 16:00
425,58.4,20100118 17:00
426,55.4,20100118 18:00
427,51.8,20100118 19:00
428,49.8,20100118 20:00
429,48.4,20100118 21:00
430,47.4,20100118 22:00
431,46.3,20100118 23:00
432,46.0,20100119 00:00
433,44.9,20100119 01:00
434,44.3,20100119 02:00
435,43.8,20100119 03:00
436,43.3,20100119 04:00
437,42.9,20100119 05:00
438,43.0,20100119 06:00
439,42.2,20100119 07:00
440,42.7,20100119 08:00
441,46.2,20100119 09:00
442,49.7,20100119 10:00
443,52.8,20100119 11:00
444,55.1,20100119 12:00
445,57.2,20100119 13:00
446,58.6,20100119 14:00
447,59.6,20100119 15:00
448,59.6,20100119 16:00
449,58.7,20100119 17:00
450,55.6,20100119 18:00
451,52.1,20100119 19:00
452,50.2,20100119 20:00
453,48.8,20100119 21:00
454,47.7,20100119 22:00
455,46.5,20100119 23:00
456,46.1,20100120 00:00
457,45.2,20100120 01:00
458,44.6,20100120 02:00
459,44.0,20100120 03:00
460,43.5,20100120 04:00
461,43.1,20100120 05:00
462,43.1,20100120 06:00
463,42.3,20100120 07:00
464,42.7,20100120 08:00
465,46.2,20100120 09:00
466,49.7,20100120 10:00
467,52.8,20100120 11:00
468,55.1,20100120 12:00
469,57.2,20100120 13:00
470,58.6,20100120 14:00
471,59.7,20100120 15:00
472,59.6,20100120 16:00
473,58.7,20100120 17:00
474,55.7,20100120 18:00
475,52.3,20100120 19:00
476,50.3,20100120 20:00
477,48.9,20100120 21:00
478,47.8,20100120 22:00
479,46.7,20100120 23:00
480,46.2,20100121 00:00
481,45.3,20100121 01:00
482,44.7,20100121 02:00
483,44.3,20100121 03:00
484,43.8,20100121 04:00
485,43.4,20100121 05:00
486,43.5,20100121 06:00
487,42.8,20100121 07:00
488,43.3,20100121 08:00
489,46.6,20100121 09:00
490,50.0,20100121 10:00
491,53.1,20100121 11:00
492,55.4,20100121 12:00
493,57.6,20100121 13:00
494,59.0,20100121 14:00
495,60.1,20100121 15:00
496,60.1,20100121 16:00
497,59.2,20100121 17:00
498,56.2,20100121 18:00
499,52.9,20100121 19:00
500,51.0,20100121 20:00
501,49.6,20100121 21:00
502,48.5,20100121 22:00
503,47.4,20100121 23:00
504,46.9,20100122 00:00
505,46.1,20100122 01:00
506,45.4,20100122 02:00
507,44.9,20100122 03:00
508,44.4,20100122 04:00
509,44.1,20100122 05:00
510,44.1,20100122 06:00
511,43.4,20100122 07:00
512,43.9,20100122 08:00
513,47.1,20100122 09:00
514,50.4,20100122 10:00
515,53.4,20100122 11:00
516,55.7,20100122 12:00
517,57.8,20100122 13:00
518,59.2,20100122 14:00
519,60.3,20100122 15:00
520,60.2,20100122 16:00
521,59.4,20100122 17:00
522,56.5,20100122 18:00
523,53.3,20100122 19:00
524,51.3,20100122 20:00
525,50.0,20100122 21:00
526,48.9,20100122 22:00
527,47.9,20100122 23:00
528,47.4,20100123 00:00
529,46.5,20100123 01:00
530,45.8,20100123 02:00
531,45.3,20100123 03:00
532,44.8,20100123 04:00
533,44.4,20100123 05:00
534,44.5,20100123 06:00
535,43.7,20100123 07:00
536,44.2,20100123 08:00
537,47.4,20100123 09:00
538,50.6,20100123 10:00
539,53.5,20100123 11:00
540,55.8,20100123 12:00
541,57.9,20100123 13:00
542,59.3,20100123 14:00
543,60.4,20100123 15:00
544,60.4,20100123 16:00
545,59.5,20100123 17:00
546,56.8,20100123 18:00
547,53.4,20100123 19:00
548,51.3,20100123 20:00
549,50.0,20100123 21:00
550,48.9,20100123 22:00
551,47.9,20100123 23:00
552,47.4,20100124 00:00
553,46.5,20100124 01:00
554,45.8,20100124 02:00
555,45.3,20100124 03:00
556,44.8,20100124 04:00
557,44.4,20100124 05:00
558,44.5,20100124 06:00
559,43.6,20100124 07:00
560,43.9,20100124 08:00
561,47.2,20100124 09:00
562,50.5,20100124 10:00
563,53.6,20100124 11:00
564,55.9,20100124 12:00
565,58.0,20100124 13:00
566,59.4,20100124 14:00
567,60.5,20100124 15:00
568,60.4,20100124 16:00
569,59.6,20100124 17:00
570,56.9,20100124 18:00
571,53.6,20100124 19:00
572,51.5,20100124 20:00
573,50.1,20100124 21:00
574,49.0,20100124 22:00
575,48.0,20100124 23:00
576,47.5,20100125 00:00
577,46.6,20100125 01:00
578,45.9,20100125 02:00
579,45.4,20100125 03:00
580,44.9,20100125 04:00
581,44.4,20100125 05:00
582,44.6,20100125 06:00
583,43.6,20100125 07:00
584,43.9,20100125 08:00
585,47.2,20100125 09:00
586,50.6,20100125 10:00
587,53.7,20100125 11:00
588,56.0,20100125 12:00
589,58.0,20100125 13:00
590,59.6,20100125 14:00
591,60.6,20100125 15:00
592,60.6,20100125 16:00
593,59.7,20100125 17:00
594,57.1,20100125 18:00
595,53.9,20100125 19:00
596,51.7,20100125 20:00
597,50.3,20100125 21:00
598,49.2,20100125 22:00
599,48.3,20100125 23:00
600,47.7,20100126 00:00
601,46.8,20100126 01:00
602,46.1,20100126 02:00
603,45.5,20100126 03:00
604,45.0,20100126 04:00
605,44.5,20100126 05:00
606,44.6,20100126 06:00
607,43.5,20100126 07:00
608,43.9,20100126 08:00
609,47.3,20100126 09:00
610,50.8,20100126 10:00
611,53.9,20100126 11:00
612,56.2,20100126 12:00
613,58.3,20100126 13:00
614,59.8,20100126 14:00
615,60.9,20100126 15:00
616,60.9,20100126 16:00
617,60.1,20100126 17:00
618,57.4,20100126 18:00
619,54.0,20100126 19:00
620,51.8,20100126 20:00
621,50.3,20100126 21:00
622,49.2,20100126 22:00
623,48.3,20100126 23:00
624,47.7,20100127 00:00
625,46.8,20100127 01:00
626,46.0,20100127 02:00
627,45.5,20100127 03:00
628,44.8,20100127 04:00
629,44.4,20100127 05:00
630,44.5,20100127 06:00
631,43.5,20100127 07:00
632,44.0,20100127 08:00
633,47.4,20100127 09:00
634,50.9,20100127 10:00
635,54.0,20100127 11:00
636,56.3,20100127 12:00
637,58.4,20100127 13:00
638,59.9,20100127 14:00
639,60.9,20100127 15:00
640,60.9,20100127 16:00
641,60.1,20100127 17:00
642,57.5,20100127 18:00
643,54.0,20100127 19:00
644,51.9,20100127 20:00
645,50.4,20100127 21:00
646,49.3,20100127 22:00
647,48.4,20100127 23:00
648,47.8,20100128 00:00
649,46.9,20100128 01:00
650,46.2,20100128 02:00
651,45.6,20100128 03:00
652,45.0,20100128 04:00
653,44.5,20100128 05:00
654,44.5,20100128 06:00
655,43.6,20100128 07:00
656,44.1,20100128 08:00
657,47.5,20100128 09:00
658,51.0,20100128 10:00
659,54.1,20100128 11:00
660,56.4,20100128 12:00
661,58.5,20100128 13:00
662,59.9,20100128 14:00
663,60.9,20100128 15:00
664,61.0,20100128 16:00
665,60.1,20100128 17:00
666,57.6,20100128 18:00
667,54.1,20100128 19:00
668,51.8,20100128 20:00
669,50.5,20100128 21:00
670,49.3,20100128 22:00
671,48.4,20100128 23:00
672,47.9,20100129 00:00
673,47.0,20100129 01:00
674,46.3,20100129 02:00
675,45.7,20100129 03:00
676,45.1,20100129 04:00
677,44.7,20100129 05:00
678,44.8,20100129 06:00
679,43.8,20100129 07:00
680,44.3,20100129 08:00
681,47.6,20100129 09:00
682,51.0,20100129 10:00
683,54.1,20100129 11:00
684,56.3,20100129 12:00
685,58.3,20100129 13:00
686,59.8,20100129 14:00
687,60.7,20100129 15:00
688,60.8,20100129 16:00
689,59.9,20100129 17:00
690,57.5,20100129 18:00
691,54.0,20100129 19:00
692,51.8,20100129 20:00
693,50.4,20100129 21:00
694,49.4,20100129 22:00
695,48.4,20100129 23:00
696,47.8,20100130 00:00
697,46.9,20100130 01:00
698,46.2,20100130 02:00
699,45.6,20100130 03:00
700,45.1,20100130 04:00
701,44.6,20100130 05:00
702,44.7,20100130 06:00
703,43.7,20100130 07:00
704,44.2,20100130 08:00
705,47.5,20100130 09:00
706,50.8,20100130 10:00
707,53.8,20100130 11:00
708,56.1,20100130 12:00
709,58.1,20100130 13:00
710,59.6,20100130 14:00
711,60.6,20100130 15:00
712,60.7,20100130 16:00
713,59.9,20100130 17:00
714,57.5,20100130 18:00
715,54.0,20100130 19:00
716,51.8,20100130 20:00
717,50.4,20100130 21:00
718,49.3,20100130 22:00
719,48.3,20100130 23:00
720,47.8,20100131 00:00
721,46.8,20100131 01:00
722,46.1,20100131 02:00
723,45.5,20100131 03:00
724,45.0,20100131 04:00
725,44.5,20100131 05:00
726,44.7,20100131 06:00
727,43.7,20100131 07:00
728,44.2,20100131 08:00
729,47.5,20100131 09:00
730,50.8,20100131 10:00
731,54.0,20100131 11:00
732,56.2,20100131 12:00
733,58.2,20100131 13:00
734,59.8,20100131 14:00
735,60.7,20100131 15:00
736,60.9,20100131 16:00
737,60.0,20100131 17:00
738,57.7,20100131 18:00
739,54.2,20100131 19:00
740,51.9,20100131 20:00
741,50.4,20100131 21:00
742,49.3,20100131 22:00
743,48.2,20100131 23:00
744,47.8,20100201 00:00